zip,unemployed,households,inc10,inc15,inc25,inc35,inc50,inc75,inc100,inc150,inc200,inc201,medianIncome,meanIncome,ssi,cpa,snap,capitaIncome,poverty
GEO.id2,HC03_VC08,HC01_VC74,HC01_VC75,HC01_VC76,HC01_VC77,HC01_VC78,HC01_VC79,HC01_VC80,HC01_VC81,HC01_VC82,HC01_VC83,HC01_VC84,HC01_VC85,HC01_VC86,HC01_VC95,HC01_VC97,HC01_VC99,HC01_VC115,HC03_VC156
Id2,Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Total households,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than $10,000","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $150,000 to $199,999","Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $200,000 or more",Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars),Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
48001,9.3,5117,339,228,569,688,822,1005,730,544,146,46,48081,58309,334,51,557,24708,6.8
48002,6,1135,28,27,84,87,117,387,144,196,35,30,63693,72338,15,15,92,25118,1.8
48003,9.4,2147,133,66,160,215,283,441,274,408,160,7,63538,70648,47,50,143,25605,7.9
48005,7.7,1860,46,100,93,101,242,399,360,424,64,31,72157,79639,31,15,123,28045,2.4
48006,8.4,1371,74,45,71,150,256,323,238,170,28,16,54707,63811,73,45,128,22676,5
48009,2.8,8871,225,233,377,434,771,1149,1224,1544,934,1980,100473,151887,66,49,184,67580,2.1
48014,12.6,1579,107,76,219,161,316,352,161,131,38,18,46976,54591,9,47,313,20000,14.9
48015,7.1,3764,355,439,531,616,461,609,414,257,82,0,33907,45399,239,205,646,21165,9.3
48017,7.7,5498,183,202,402,753,1123,1039,819,773,154,50,51473,62847,134,94,255,29578,3.1
48021,10.7,12643,986,676,1623,1654,2206,2566,1769,989,151,23,44867,51106,563,556,2270,20181,12.9
48022,11.1,948,36,27,100,90,112,278,132,134,33,6,59052,64687,35,0,83,23442,7.8
48023,11,2116,129,158,246,290,256,217,471,193,74,82,47151,65984,66,34,288,26038,5.9
48025,3.6,5627,106,74,192,309,341,714,758,1218,698,1217,109088,159526,70,42,43,62035,0.9
48026,7.8,6056,353,360,730,684,774,1072,900,818,207,158,52335,66605,316,220,798,28244,6.9
48027,11.4,1236,62,68,143,106,160,336,206,138,17,0,59000,58382,26,68,91,22307,2.7
48028,9.1,554,15,17,80,98,57,113,69,37,24,44,50658,76447,31,25,75,35079,4.6
48030,12.4,6748,805,616,987,963,1080,1516,405,313,31,32,35042,43722,551,319,1721,18188,19.6
48032,6.6,804,36,21,93,55,91,228,118,131,20,11,62891,68005,24,14,49,24354,7.9
48033,8,7641,822,262,775,1141,1254,1330,1070,642,184,161,43414,59254,352,291,877,28030,9.2
48034,7.8,6656,410,439,825,917,1479,1080,685,373,331,117,41304,55588,229,174,785,28564,14.2
48035,11,14305,1102,570,1802,2037,2382,2568,2001,1364,367,112,44888,55960,594,535,2045,23482,10.2
48036,6.6,9015,715,600,911,1113,1379,1618,1094,1112,313,160,47155,60916,311,460,1107,26390,11
48038,7.1,18183,780,956,2169,2021,2504,3898,2316,2320,860,359,53660,65823,594,539,1648,29345,6.1
48039,10.9,3058,280,129,376,345,447,626,442,314,99,0,47106,55549,172,71,450,21656,9.5
48040,8.3,4194,210,186,504,483,605,920,562,526,162,36,52588,63710,116,82,344,26701,2.2
48041,7.5,1647,91,73,112,142,236,430,201,306,49,7,58403,67312,29,34,82,25600,4.8
48042,6.8,8671,214,138,435,419,807,1691,1621,2496,579,271,85885,89418,256,90,283,30458,3.3
48043,8.9,7004,994,521,1294,830,948,923,833,415,152,94,32313,48687,586,392,1632,22027,17.2
48044,6,17080,357,465,630,1227,1992,3218,3089,3942,1507,653,80809,88468,404,280,923,29898,4.2
48045,8.7,11298,700,472,1296,1369,1600,1771,1458,1671,599,362,52345,69735,303,233,1144,32104,7.2
48047,6.8,14202,470,310,1092,923,1788,2584,2321,3237,1000,477,74315,84212,364,175,886,31565,4.4
48048,10.7,2579,92,130,269,279,309,614,495,278,74,39,57057,65213,179,25,238,21777,8
48049,4.9,2023,67,52,80,116,352,528,436,305,41,46,66319,71846,87,25,166,26304,2.2
48050,6.4,533,29,28,19,72,79,116,57,108,15,10,55795,73722,8,0,11,29318,4.9
48051,9.5,5706,218,183,505,525,648,1141,1216,1039,184,47,68435,73658,239,250,815,25254,8.9
48054,6.3,2940,63,162,266,309,565,642,356,381,145,51,53454,70756,99,23,164,28981,3.6
48059,5.8,6200,196,235,800,870,1024,1079,768,734,240,254,49547,70315,251,128,540,29405,4.2
48060,10.3,16562,1720,1345,2880,2220,2385,2912,1603,1031,240,226,35709,48011,1235,1008,4215,19732,20.7
48062,6.7,3494,92,158,239,302,563,845,447,667,109,72,60994,70553,76,65,138,26504,7.4
48063,9.2,1453,15,34,160,164,187,337,271,219,58,8,60239,68746,44,45,115,24453,1.6
48064,9,1455,16,118,105,170,190,265,273,231,70,17,59453,68824,54,65,171,24031,7.8
48065,9.4,3882,79,186,385,438,508,693,515,662,202,214,65232,76690,117,149,385,28743,7.2
48066,10.6,19799,1631,1513,2698,2668,3151,4321,2263,1240,223,91,40642,48586,1221,865,3673,20619,12.2
48067,5.9,12057,583,541,872,974,1535,2310,1760,2276,790,416,64809,78421,223,176,767,38879,4.4
48069,4.6,1120,20,22,54,52,46,162,176,245,150,193,107750,130295,18,21,17,57924,1.8
48070,2.6,2295,29,47,77,41,173,267,311,565,311,474,109946,141061,47,15,34,52329,0.7
48071,9.8,12615,1255,681,1652,1665,1743,2401,1607,1339,166,106,42294,52912,584,634,1973,23011,13.8
48072,4.9,6704,379,134,590,328,810,1554,1202,1066,413,228,67217,76573,150,155,349,34483,2.2
48073,4.6,16312,880,457,1293,1685,2475,3170,2261,2584,919,588,59457,74709,400,176,794,37716,2.4
48074,8.1,3548,169,170,344,491,521,902,493,372,78,8,51863,57593,77,81,436,22131,7.8
48075,6.8,9145,784,394,684,1086,1002,1898,1281,1294,435,287,56035,68992,724,341,1342,29676,10.3
48076,7.9,10204,377,329,662,906,1448,2036,1647,1879,594,326,66326,77529,357,204,877,32124,6.4
48079,5.9,4645,119,242,416,472,723,829,748,631,330,135,61439,74560,166,64,394,28268,5.2
48080,6.8,10794,596,735,1266,1297,1493,2200,1594,1148,268,197,50072,59639,272,182,1008,28259,10.4
48081,7.3,8933,312,536,984,944,1188,1804,1296,1350,343,176,57450,69330,247,147,598,30526,4.5
48082,8.1,7216,215,377,824,921,1010,1673,1086,857,179,74,53654,61593,255,177,550,27206,6
48083,5.7,8839,530,512,938,727,878,1472,1475,1412,649,246,62606,74664,280,226,787,29094,9
48084,5.4,5917,84,145,451,275,608,1121,1060,1011,512,650,80707,112064,103,126,196,46365,2.4
48085,5.1,8374,197,146,333,255,730,1405,1289,1895,1215,909,95828,115543,142,104,262,40121,2.5
48088,6.3,9335,445,402,800,1078,1483,2100,1634,1064,225,104,54393,63088,325,216,652,26167,7
48089,11.9,11821,1161,856,1533,1807,2211,2188,1256,674,110,25,38116,45838,798,487,2539,17998,15
48091,10.8,12198,1039,1076,2063,1561,1895,2472,1178,738,101,75,37596,46206,781,604,2678,18558,18.4
48092,7.6,10406,596,412,1134,1173,1820,2144,1359,1396,273,99,50420,60553,271,350,1117,24647,9.2
48093,7.1,10324,757,533,1080,1273,1531,1890,1576,1089,448,147,49864,60319,250,343,1008,26468,9.2
48094,6.7,6430,230,215,514,445,842,985,1119,1229,443,408,74570,88967,79,145,352,33377,6.1
48095,9.8,1781,32,114,74,155,190,235,232,399,269,81,83616,92671,8,10,48,33534,9.1
48096,8.4,1479,19,89,162,85,212,202,269,270,106,65,72951,92115,16,50,102,36449,7.8
48097,9,1936,103,108,291,213,350,410,259,135,48,19,47188,54070,56,45,261,19771,10.6
48098,4.5,7019,186,172,208,280,426,822,1020,1221,1082,1602,116049,144387,98,98,46,53162,2.4
48101,8,10997,452,457,1300,964,1785,2108,1676,1631,390,234,55625,66581,158,302,767,26800,5.6
48103,4.2,23110,1298,760,1861,1900,2551,3607,3088,3837,2333,1875,71239,92686,368,332,1270,40151,5.1
48104,4.9,14684,2334,836,1243,1370,1485,2303,1239,1723,916,1235,50613,80221,397,154,908,32094,4.3
