name,stateFull,stateAbbr,schoolId,agencyName,agencyId,county,address,city,zip,mailAddress,mailCity,mailZip,phone,type,charter,magnet,lat,lng,stateSchoolId,lowGrade,highGrade,level,enrollment,freeLunch,redLunch,totalFreeLunch,nativeAmerican,asian,hispanic,black,white,pacificIsland,multiRacial,ratio
School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location ZIP [Public School] 2010-11,Mailing Address [Public School] 2010-11,Mailing City [Public School] 2010-11,Mailing ZIP [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Charter School [Public School] 2010-11,Magnet School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,Lowest Grade Offered [Public School] 2010-11,Highest Grade Offered [Public School] 2010-11,School Level Code [Public School] 2010-11,Total Students [Public School] 2010-11,Free Lunch Eligible [Public School] 2010-11,Reduced-price Lunch Eligible Students [Public School] 2010-11,Total Free and Reduced Lunch Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Hispanic Students [Public School] 2010-11,Black Students [Public School] 2010-11,White Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Two or More Races Students [Public School] 2010-11,Pupil/Teacher Ratio [Public School] 2010-11
12TH STREET ELEMENTARY,Michigan,MI ,2.63E+11,PORTAGE PUBLIC SCHOOLS,2628950,KALAMAZOO COUNTY,6501 SOUTH 12TH ST,PORTAGE,49024,6501 SOUTH 12TH ST,PORTAGE,49024,2693236900,1-Regular school,2-No,1-Yes,42.222189,-85.648205,9848,Kindergarten,5th Grade,1-Primary,560,128,20,148,0,53,24,42,405,3,33,18.81
A.A. RATHER SCHOOL,Michigan,MI ,2.62E+11,IONIA PUBLIC SCHOOLS,2619250,IONIA COUNTY,380 EAST TUTTLE RD,IONIA,48846,380 EAST TUTTLE RD,IONIA,48846,6165271720,1-Regular school,2-No,2-No,42.951091,-85.067189,1,Kindergarten,5th Grade,1-Primary,316,126,24,150,1,6,17,0,277,0,15,19.58
A.C. EDGERTON ELEMENTARY SCHOOL,Michigan,MI ,2.61E+11,CLIO AREA SCHOOL DISTRICT,2610110,GENESEE COUNTY,11218 NORTH LINDEN RD,CLIO,48420,11218 NORTH LINDEN RD,CLIO,48420,8105917650,1-Regular school,2-No,2-No,43.167984,-83.774022,2,Kindergarten,4th Grade,1-Primary,410,139,24,163,3,2,6,7,386,0,6,23.16
ABBOT SCHOOL,Michigan,MI ,2.60E+11,ANN ARBOR PUBLIC SCHOOLS,2602820,WASHTENAW COUNTY,2670 SEQUOIA PARKWAY,ANN ARBOR,48103,2670 SEQUOIA PKWY,ANN ARBOR,48103,7349941901,1-Regular school,2-No,2-No,42.292777,-83.785444,6,Kindergarten,5th Grade,1-Primary,299,88,5,93,3,19,17,32,193,0,35,14.17
ABERDEEN ELEMENTARY,Michigan,MI ,2.62E+11,GRAND RAPIDS PUBLIC SCHOOLS,2616440,KENT COUNTY,928 ABERDEEN ST NE,GRAND RAPIDS,49505,928 ABERDEEN ST NE,GRAND RAPIDS,49505,6168192868,1-Regular school,2-No,2-No,43.006172,-85.646635,9280,Kindergarten,5th Grade,1-Primary,207,163,15,178,0,5,16,100,70,0,16,16.17
ABRAMS ELEMENTARY SCHOOL,Colorado,CO ,80408000560,FOUNTAIN SCHOOL DISTRICT NO. 8 IN THE COUNTY OF EL PASO AN,804080,EL PASO COUNTY,600 CHILES AVE,FORT CARSON,80902,600 CHILES AVENUE,FORT CARSON,80902,7193821490,1-Regular school,2-No,2-No,38.74583,-104.80383,1334,Kindergarten,5th Grade,1-Primary,484,236,113,349,4,7,93,68,268,9,35,15.37
ACADEMIA ANA MARIE SANDOVAL,Colorado,CO ,80336001750,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,803360,DENVER COUNTY,3655 WYANDOT ST,DENVER,80211,3655 WYANDOT STREET,DENVER,80211,7204244370,1-Regular school,2-No,2-No,39.767508,-105.014415,6397,Prekindergarten,6th Grade,1-Primary,371,114,27,141,1,5,224,1,130,0,10,19.53
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,Colorado,CO ,80192001643,ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,801920,EL PASO COUNTY,3475 HAMPTON PARK DR,COLORADO SPRINGS,80920,3475 HAMPTON PARK DRIVE,COLORADO SPRINGS,80920,7192345600,1-Regular school,2-No,2-No,38.952235,-104.761708,17,Kindergarten,5th Grade,1-Primary,622,81,19,100,1,31,101,27,426,4,32,18.29
ACADEMY FOR BUSINESS AND TECHNOLOGY ELEMENTARY,Michigan,MI ,2.60E+11,ACADEMY FOR BUSINESS AND TECHNOLOGY,2600166,WAYNE COUNTY,5277 CALHOUN ST,DEARBORN,48126,5277 CALHOUN ST,DEARBORN,48126,3135812223,1-Regular school,1-Yes,2-No,42.326149,-83.174852,9332,Kindergarten,5th Grade,1-Primary,355,305,23,328,2,0,104,189,60,0,0,18.98
